Pl,horse_name,bar,Track,Gear,Rtg,jockey,trainer,Owner,Last 800m,Last 400m,Final,Second,total second to finish
10,A LA VICTORY,7,1200,"B, TT",79,K A'ISISUHAIRI,J PETERS,CHINA HORSE CLUB STABLE,8,9,10,8.6,71
10,A LA VICTORY,7,1200,"B, TT",79,K A'ISISUHAIRI,J PETERS,CHINA HORSE CLUB STABLE,8,9,10,8.6,71
5,A LA VICTORY,6,1200,"B, TT",77,SY MOON,J PETERS,CHINA HORSE CLUB STABLE,8,7,5,2.7,70
3,A LOT IN HAND,4,1100,B,43,APP CK NG,HK TAN,HAPPY LIFE STABLE,3,3,3,2.9,67
8,A LOT IN HAND,3,1200,B,43,TH KOH,HK TAN,HAPPY LIFE STABLE,2,2,8,8.1,74
4,A LOT IN HAND,11,1200,B,41,M EWE,HK TAN,HAPPY LIFE STABLE,2,2,4,5.1,73
3,A LOT IN HAND,2,1200,B,39,M EWE,HK TAN,HAPPY LIFE STABLE,1,1,3,2.1,73
5,A LOT IN HAND,11,1200,B,39,APP CK NG,HK TAN,HAPPY LIFE STABLE,2,3,5,5.1,73
8,A LOT IN HAND,4,1100,B,38,D DAVID,HK TAN,HAPPY LIFE STABLE,1,2,8,6,66
9,AABIR,3,1000,TT,,V DURIC,M WALKER,JOHN ERIC GILES GALVIN,7,8,9,10.2,62
2,AABIR,6,1000,TT,,R WOODWORTH,M WALKER,JOHN ERIC GILES GALVIN,1,1,2,0.3,119
8,AABIR,7,1200,TT,,R WOODWORTH,M WALKER,JOHN ERIC GILES GALVIN,5,6,8,3.1,72
2,AABIR,10,1100,TT,48,R ZAWARI,M WALKER,JOHN ERIC GILES GALVIN,2,2,2,0.8,65
3,AABIR,3,1000,TT,48,APP AB RIDUAN,M WALKER,JOHN ERIC GILES GALVIN,2,2,3,1.3,60
3,AABIR,12,1000,TT,48,R ZAWARI,M WALKER,JOHN ERIC GILES GALVIN,5,5,3,2.1,119
11,AABIR,3,1000,TT,48,APP AB RIDUAN,M WALKER,JOHN ERIC GILES GALVIN,5,6,11,9.5,61
11,AABIR,9,1100,TT,48,R ZAWARI,M WALKER,JOHN ERIC GILES GALVIN,3,3,11,8.9,67
6,AASKAR,10,1000,"PP, TT",60,V DURIC,D LOGAN,AJ'S STABLE,1,2,6,3.5,61
